F1,Accuracy,Precision,Recall,Features
0.451304844,0.486379613,0.529294668,0.478991751,mqtt;mdns;ssdp
0.376144958,0.415641476,0.45124295,0.397538369,mqtt;mdns;classicstun
0.375873949,0.40026362,0.675527568,0.375877081,mqtt;mdns;ntp
0.886616486,0.897188049,0.897584639,0.9016037,mqtt;quic;ssl
0.224661004,0.293936731,0.335249682,0.272386621,mqtt;quic;bootp
0.4079204,0.467486819,0.510090617,0.445661132,mqtt;quic;ssdp
0.277481704,0.342706503,0.304701288,0.3206178,mqtt;quic;classicstun
0.410257487,0.451669596,0.603931827,0.41088391,mqtt;quic;ntp
0.896942946,0.903339192,0.929011043,0.909384245,mqtt;ssl;bootp
0.840145824,0.840949033,0.903695374,0.857484098,mqtt;ssl;ssdp
0.83209909,0.851933216,0.87156429,0.848077885,mqtt;ssl;classicstun
0.821122067,0.83831283,0.849024296,0.841816303,mqtt;ssl;ntp
0.485356377,0.536906854,0.655222314,0.516380956,mqtt;bootp;ssdp
0.361017936,0.423550088,0.447815652,0.396439122,mqtt;bootp;classicstun
0.405924525,0.446397188,0.780657791,0.41113368,mqtt;bootp;ntp
0.477167454,0.529876977,0.586384831,0.506346696,mqtt;ssdp;classicstun
0.494675558,0.515817223,0.777865881,0.506264769,mqtt;ssdp;ntp
0.475883243,0.519332162,0.641295563,0.475204619,mqtt;classicstun;ntp
0.652281365,0.684094903,0.719979879,0.655279289,dns;mdns;quic
0.775999849,0.798330404,0.835977768,0.792421848,dns;mdns;ssl
0.725085807,0.755272408,0.793743772,0.724600763,dns;mdns;bootp
0.730089617,0.737697715,0.868597656,0.730783698,dns;mdns;ssdp
0.630173338,0.695518453,0.664190987,0.650603921,dns;mdns;classicstun
0.580904234,0.630052724,0.748056974,0.582785138,dns;mdns;ntp
0.848915824,0.863796134,0.877246677,0.856481907,dns;quic;ssl
0.720228485,0.737697715,0.785148519,0.720891619,dns;quic;bootp
0.79175894,0.788664323,0.866487106,0.787044118,dns;quic;ssdp
0.70530353,0.76801406,0.726151496,0.720221285,dns;quic;classicstun
0.658596829,0.685413005,0.823312606,0.658832291,dns;quic;ntp
0.92682088,0.918717047,0.949418572,0.928142991,dns;ssl;bootp
0.796770849,0.80228471,0.852994658,0.810248949,dns;ssl;ssdp
0.780190704,0.806239016,0.876390143,0.794428957,dns;ssl;classicstun
0.778117839,0.803602812,0.835882142,0.79490244,dns;ssl;ntp
0.867974624,0.848857645,0.933719907,0.863625563,dns;bootp;ssdp
0.760307609,0.789103691,0.793596589,0.774466824,dns;bootp;classicstun
0.727317529,0.73857645,0.793762359,0.727020015,dns;bootp;ntp
0.773186325,0.793936731,0.869806794,0.787745881,dns;ssdp;classicstun
0.722937225,0.739455185,0.851444306,0.725907618,dns;ssdp;ntp
0.636236158,0.693321617,0.787746294,0.654416578,dns;classicstun;ntp
0.815953722,0.844903339,0.834590696,0.833718408,mdns;quic;ssl
0.319009779,0.356326889,0.444985549,0.345437436,mdns;quic;bootp
0.450042425,0.491652021,0.543698297,0.471378129,mdns;quic;ssdp
0.382371803,0.427943761,0.452088995,0.398692339,mdns;quic;classicstun
0.383956383,0.412565905,0.598646259,0.371991211,mdns;quic;ntp
0.895118535,0.901142355,0.920621625,0.903657635,mdns;ssl;bootp
0.746468231,0.787785589,0.777179661,0.773661577,mdns;ssl;ssdp
0.780573379,0.790421793,0.856249663,0.795813735,mdns;ssl;classicstun
0.767750943,0.780755712,0.826889732,0.787254029,mdns;ssl;ntp
0.521094712,0.555799649,0.63374359,0.543570717,mdns;bootp;ssdp
0.453059025,0.496485062,0.583129035,0.471362108,mdns;bootp;classicstun
0.446774361,0.467486819,0.667764949,0.437745171,mdns;bootp;ntp
0.515795666,0.565465729,0.573546446,0.536385757,mdns;ssdp;classicstun
0.455368338,0.481546573,0.692229027,0.456788144,mdns;ssdp;ntp
0.447029981,0.487258348,0.576307515,0.435521472,mdns;classicstun;ntp
0.89546143,0.898506151,0.917981458,0.903369857,quic;ssl;bootp
0.816100346,0.850615114,0.841636031,0.836839738,quic;ssl;ssdp
0.827420564,0.84797891,0.864729172,0.842698305,quic;ssl;classicstun
0.829879496,0.848418278,0.853259035,0.843798702,quic;ssl;ntp
0.485877476,0.558435852,0.611163037,0.517536992,quic;bootp;ssdp
0.362128639,0.422231986,0.451026294,0.398699449,quic;bootp;classicstun
0.40628948,0.444639719,0.585255826,0.40834306,quic;bootp;ntp
0.472684502,0.533391916,0.508623036,0.502257466,quic;ssdp;classicstun
0.496778853,0.531195079,0.662445174,0.502349323,quic;ssdp;ntp
0.473659865,0.52943761,0.709196777,0.472738143,quic;classicstun;ntp
0.898090656,0.907293497,0.916737061,0.908420712,ssl;bootp;ssdp
0.909037,0.907732865,0.940506286,0.913729127,ssl;bootp;classicstun
0.917045722,0.919595782,0.941884709,0.919035572,ssl;bootp;ntp
0.755107917,0.793497364,0.799536064,0.778130067,ssl;ssdp;classicstun
0.760115191,0.789103691,0.790291358,0.783273299,ssl;ssdp;ntp
0.768683227,0.811950791,0.800586235,0.788771274,ssl;classicstun;ntp
0.620912242,0.659490334,0.735974927,0.641719042,bootp;ssdp;classicstun
0.560457017,0.586994728,0.741721105,0.567083767,bootp;ssdp;ntp
0.540572154,0.587873462,0.766129464,0.538690945,bootp;classicstun;ntp
0.548670779,0.589630931,0.710529566,0.557390779,ssdp;classicstun;ntp
0.914143663,0.919156415,0.914611199,0.914053119,sess;tcp;http;mqtt
0.964333788,0.964850615,0.965053597,0.964080886,sess;tcp;http;dns
0.924605096,0.931458699,0.925763065,0.924930429,sess;tcp;http;mdns
0.916714503,0.923550088,0.917324018,0.917021962,sess;tcp;http;quic
0.958946652,0.960017575,0.966167374,0.957217288,sess;tcp;http;ssl
0.924789278,0.931898067,0.926129497,0.923961078,sess;tcp;http;bootp
0.949363336,0.952987698,0.950210726,0.948911438,sess;tcp;http;ssdp
0.939979591,0.943760984,0.945233848,0.938158463,sess;tcp;http;classicstun
0.915296132,0.919595782,0.916695967,0.914429607,sess;tcp;http;ntp
0.962416816,0.964850615,0.964838038,0.960819211,sess;tcp;mqtt;dns
0.913068293,0.920474517,0.914972226,0.912007754,sess;tcp;mqtt;mdns
0.897960224,0.905975395,0.898014196,0.898356582,sess;tcp;mqtt;quic
0.961365704,0.964850615,0.965571261,0.96026572,sess;tcp;mqtt;ssl
0.907162895,0.912126538,0.907519967,0.909515061,sess;tcp;mqtt;bootp
0.93257993,0.935413005,0.934303611,0.932250555,sess;tcp;mqtt;ssdp
0.918391556,0.923550088,0.921987208,0.91744932,sess;tcp;mqtt;classicstun
0.915134132,0.922671353,0.916993803,0.915411644,sess;tcp;mqtt;ntp
0.962599835,0.963093146,0.963565095,0.962504757,sess;tcp;dns;mdns
0.964382014,0.968365554,0.967083019,0.963110528,sess;tcp;dns;quic
0.972369505,0.974516696,0.975156584,0.971073696,sess;tcp;dns;ssl
0.960832083,0.963532513,0.96147872,0.960404632,sess;tcp;dns;bootp
0.972021921,0.973637961,0.972688684,0.971472742,sess;tcp;dns;ssdp
0.965135444,0.968365554,0.967575577,0.96366807,sess;tcp;dns;classicstun
0.966879496,0.968804921,0.968394192,0.966015484,sess;tcp;dns;ntp
0.914463302,0.920913884,0.916417071,0.913892079,sess;tcp;mdns;quic
0.962976518,0.966168717,0.967850662,0.960660753,sess;tcp;mdns;ssl
0.924246504,0.92970123,0.92512744,0.924548867,sess;tcp;mdns;bootp
0.955158176,0.957820738,0.957967287,0.954455057,sess;tcp;mdns;ssdp
0.942600243,0.948154657,0.946041437,0.941789289,sess;tcp;mdns;classicstun
0.920038481,0.926186292,0.918986297,0.921781747,sess;tcp;mdns;ntp
0.950095388,0.955623902,0.959809343,0.948297972,sess;tcp;quic;ssl
0.920732315,0.928383128,0.922783994,0.920422292,sess;tcp;quic;bootp
0.936365289,0.941564148,0.937117809,0.936204184,sess;tcp;quic;ssdp
0.921861028,0.925307557,0.923955634,0.922176665,sess;tcp;quic;classicstun
0.918211257,0.923550088,0.920704082,0.917435278,sess;tcp;quic;ntp
0.953864813,0.957381371,0.960505078,0.953184619,sess;tcp;ssl;bootp
0.956123792,0.958699473,0.96415399,0.954429964,sess;tcp;ssl;ssdp
0.963039314,0.965289982,0.968884196,0.962190905,sess;tcp;ssl;classicstun
